,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
522,stn19-dB-LV-A3-fuc-t5,0.559931886,0.232839008,0.297492022,0.387226946,0.305852658,0.077532793,0,0,0,0,0,0
523,stn19-dB-LV-A3-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
524,stn19-dB-LV-A3-lam-t1,1.332257211,0.059784876,0.122929056,1.105023261,0.429245731,0.586091503,0,0,0,0,0,0
525,stn19-dB-LV-A3-lam-t2,0.661070571,3.711424812,4.455778093,5.424232577,4.530478494,0.858843829,0,3.050354241,3.794707523,4.763162006,3.869407923,0.858843829
526,stn19-dB-LV-A3-lam-t3,0.418599739,3.404863686,3.667692228,4.030714536,3.70109015,0.314259268,0,2.986263946,3.249092489,3.612114797,3.282490411,0.314259268
527,stn19-dB-LV-A3-lam-t4,1.539527847,2.596444478,2.653255057,2.980582239,2.743427258,0.207337224,0,1.056916632,1.11372721,1.441054393,1.203899412,0.207337224
528,stn19-dB-LV-A3-lam-t5,1.192666323,1.581013751,1.692711969,1.721631475,1.665119065,0.074258753,0,0.388347428,0.500045645,0.528965152,0.472452742,0.074258753
529,stn19-dB-LV-A3-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
530,stn19-dB-LV-A3-pul-t1,4.886842971,0.013027807,0.78000018,0.451771098,0.414933028,0.384810912,0,0,0,0,0,0
531,stn19-dB-LV-A3-pul-t2,2.441004665,0.028805407,0.09433762,0.945107566,0.356083531,0.511161035,0,0,0,0,0,0
532,stn19-dB-LV-A3-pul-t3,1.235752586,0.201620812,0.289337863,0.440971019,0.310643232,0.121089097,0,0,0,0,0,0
533,stn19-dB-LV-A3-pul-t4,0.773883504,0.329698183,0.574370206,0.700407325,0.534825238,0.188491831,0,0,0,0,0,0
